datum,pacient_prvni_zaznam,kum_pacient_prvni_zaznam,pocet_hosp,stav_bez_priznaku,stav_lehky,stav_stredni,stav_tezky,jip,kyslik,hfno,upv,ecmo,tezky_upv_ecmo,umrti,kum_umrti
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-11,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-12,1,3,3,0,2,1,0,0,0,0,0,0,0,0,0
2020-03-13,2,5,4,0,3,1,0,0,0,0,0,0,0,0,0
2020-03-14,1,6,4,1,3,0,0,0,1,0,0,0,0,0,0
2020-03-15,2,8,6,1,5,0,0,0,1,0,0,0,0,0,0
2020-03-16,14,22,19,3,8,6,2,3,4,0,2,1,2,0,0
2020-03-17,31,53,49,7,24,13,5,7,8,0,4,1,5,0,0
2020-03-18,5,58,50,7,25,12,6,9,10,0,4,1,6,0,0
2020-03-19,8,66,55,8,29,12,6,10,9,0,4,1,6,0,0
2020-03-20,14,80,66,9,32,10,15,16,14,0,8,1,15,0,0
2020-03-21,18,98,79,5,41,19,14,18,23,0,11,1,14,0,0
2020-03-22,22,120,97,6,49,26,16,27,27,0,16,1,18,1,1
2020-03-23,26,146,117,7,54,34,22,31,31,0,19,1,22,0,1
2020-03-24,25,171,135,8,54,47,26,41,43,0,23,1,26,2,3
2020-03-25,47,218,175,8,55,77,35,54,61,0,26,1,36,5,8
2020-03-26,49,267,205,5,72,91,37,51,63,0,30,1,38,0,8
